project_name,country,year,sector,subsector,investment,fund_source,carrier_type,overall_rating,relevance,coherence,effectivity,efficiency,impact,sustainability,url,outcome_fully,outcome_partially,outcome_not,pdf
Programm Entwicklung des Finanzsektors ,Uganda,2014,Nachhaltige Wirtschaftsentwicklung,Nachhaltige Wirtschaft,1740000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,1.0,,2.0,2.0,2,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-R-Z/Uganda_Finanzsektor_2014_D.pdf,100.0,0.0,0.0,Uganda_Finanzsektor_2014_D.pdf
Streckenlokomotiven (Expresszugprogramm),Vietnam,2014,Transport und Kommunikation,Nachhaltige Wirtschaft,49010000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,4,3.0,,2.0,4.0,4,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-R-Z/Vietnam_Lokomotiven_2014_D.pdf,50.0,33.33333333333333,16.666666666666664,Vietnam_Lokomotiven_2014_D.pdf
Werkstattprogramm Da Nang,Vietnam,2014,Transport und Kommunikation,Nachhaltige Wirtschaft,4830000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,3.0,,2.0,3.0,2,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-R-Z/Vietnam_Lokomotiven_2014_D.pdf,100.0,0.0,0.0,Vietnam_Lokomotiven_2014_D.pdf
Familienplanung III,Albanien,2013,Gesundheit,Gesundheit und soziale Sicherung,2080000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,4,3.0,,3.0,3.0,3,4.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Albanien_Familienplanung_2013_D.pdf,20.0,0.0,80.0,Albanien_Familienplanung_2013_D.pdf
Programm zur Bekämpfung der Tuberkulose,Georgien,2013,Gesundheit,Gesundheit und soziale Sicherung,2560000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,1.0,,3.0,2.0,2,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Kaukasus_Tuberkulose_2013_D.pdf,50.0,0.0,50.0,Kaukasus_Tuberkulose_2013_D.pdf
Bekämpfung der Tuberkulose Georgien,Georgien,2013,Gesundheit,Gesundheit und soziale Sicherung,1000000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,1.0,,3.0,2.0,2,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Kaukasus_Tuberkulose_2013_D.pdf,50.0,0.0,50.0,Kaukasus_Tuberkulose_2013_D.pdf
Bekämpfung der Tuberkulose Armenien,Armenien,2013,Gesundheit,Gesundheit und soziale Sicherung,2250000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,1.0,,3.0,3.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Kaukasus_Tuberkulose_2013_D.pdf,50.0,0.0,50.0,Kaukasus_Tuberkulose_2013_D.pdf
Bekämpfung der Tuberkulose Aserbaidschan,Aserbaidschan,2013,Gesundheit,Gesundheit und soziale Sicherung,3000000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,1.0,,3.0,3.0,3,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Kaukasus_Tuberkulose_2013_D.pdf,50.0,50.0,0.0,Kaukasus_Tuberkulose_2013_D.pdf
Familienplanung und AIDS-Prävention,Äthiopien,2013,Gesundheit,Gesundheit und soziale Sicherung,2730000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,2.0,,2.0,3.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Äthiopien_FP_HIV_2012_D_NEU.pdf,100.0,0.0,0.0,Äthiopien_FP_HIV_2012_D_NEU.pdf
Bekämpfung von HIV/AIDS II,Äthiopien,2013,Gesundheit,Gesundheit und soziale Sicherung,6000000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,2.0,,2.0,2.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Äthiopien_FP_HIV_2012_D_NEU.pdf,100.0,0.0,0.0,Äthiopien_FP_HIV_2012_D_NEU.pdf
