project_name,country,year,sector,subsector,investment,fund_source,carrier_type,overall_rating,relevance,coherence,effectivity,efficiency,impact,sustainability,url,outcome_fully,outcome_partially,outcome_not,pdf
"Ländliche Entwicklung Ouham, Phase IV",Zentralafrikanische Republik,2016,Gesundheit,Frieden und Governance,3030000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,5,2.0,,5.0,5.0,5,4.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-R-Z/ZAR_Ouham_2016_D.pdf,0.0,0.0,0.0,ZAR_Ouham_2016_D.pdf
Investment <span lang='en'>Climate Facility for Africa (ICF)</span>,Afrika (regional),2015,Nachhaltige Wirtschaftsentwicklung,Nachhaltige Wirtschaft,72500000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Mischform,3,2.0,,3.0,3.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Afrika_ICF_2015_D.pdf,0.0,100.0,0.0,Afrika_ICF_2015_D.pdf
"Deutscher Beitrag zur Investment <span lang='en'>Climate Facility for Africa (ICF)</span>, Phase II",Afrika (regional),2015,Nachhaltige Wirtschaftsentwicklung,Nachhaltige Wirtschaft,72500000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Mischform,3,2.0,,3.0,3.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Afrika_ICF_2015_D.pdf,0.0,100.0,0.0,Afrika_ICF_2015_D.pdf
Städtische Wasserversorgung und Abwasserentsorgung,Äthiopien,2015,Wasser,Ressourcenschutz inkl. Wasser,10700000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,3.0,,3.0,3.0,4,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Äthiopien_WV_AE_2015_D.pdf,0.0,100.0,0.0,Äthiopien_WV_AE_2015_D.pdf
Allgemeine Budgethilfe,Benin,2015,Sonstige,Frieden und Governance,114524390.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,3.0,,3.0,3.0,3,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Benin_PBA_2015_D.pdf,0.0,60.0,40.0,Benin_PBA_2015_D.pdf
Windparkprogramm BNDES,Brasilien,2015,Energie,Klima und Energie,210000000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,1.0,,2.0,2.0,3,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Brasilien_BNDES_2015_D.pdf,100.0,0.0,0.0,Brasilien_BNDES_2015_D.pdf
Ausstattung von Berufsbildungszentren,Bulgarien,2015,Bildung,Nachhaltige Wirtschaft,6510000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,4,3.0,,4.0,3.0,4,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Bulgarien_Berufsbildung_2015_D.pdf,50.0,0.0,50.0,Bulgarien_Berufsbildung_2015_D.pdf
Arbeitsintensiver Pistenbau (HIMO) III,Burkina Faso,2015,Governance,Frieden und Governance,3760000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Privatwirtschaftlich,4,2.0,,3.0,3.0,3,4.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Burkina_Faso_HIMOIII_D_2015.pdf,33.33333333333333,33.33333333333333,33.33333333333333,Burkina_Faso_HIMOIII_D_2015.pdf
Programm RE/EE III: Kreditlinie (Verbundfinanzierung),Chile,2015,Energie,Klima und Energie,30760000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,2.0,,2.0,2.0,2,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Chile_Programm_RE-EE-III_IV_2015_D.pdf,100.0,0.0,0.0,Chile_Programm_RE-EE-III_IV_2015_D.pdf
Programm RE/EE IV: Kreditlinie (ZV),Chile,2015,Energie,Klima und Energie,186320000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,2.0,,2.0,2.0,2,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Chile_Programm_RE-EE-III_IV_2015_D.pdf,100.0,0.0,0.0,Chile_Programm_RE-EE-III_IV_2015_D.pdf
Solarenergie Xinjiang,Volksrepublik China,2015,Energie,Klima und Energie,7470000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Privatwirtschaftlich,4,3.0,,4.0,4.0,5,4.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/China_Solarenergie_D_2015.pdf,0.0,0.0,100.0,China_Solarenergie_D_2015.pdf
Solarenergieprogramm Qinghai II ,Volksrepublik China,2015,Energie,Klima und Energie,11570000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Privatwirtschaftlich,5,4.0,,4.0,4.0,5,4.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/China_Solarenergie_D_2015.pdf,0.0,33.33333333333333,66.66666666666666,China_Solarenergie_D_2015.pdf
Solarenergie Yunnan,Volksrepublik China,2015,Energie,Klima und Energie,7880000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Privatwirtschaftlich,5,4.0,,4.0,4.0,5,4.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/China_Solarenergie_D_2015.pdf,0.0,0.0,66.66666666666666,China_Solarenergie_D_2015.pdf
Solarenergie Gansu (Photovoltaik / Dorfstromversorgung),Volksrepublik China,2015,Energie,Klima und Energie,2800000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Privatwirtschaftlich,5,4.0,,5.0,5.0,5,4.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/China_Solarenergie_D_2015.pdf,0.0,0.0,100.0,China_Solarenergie_D_2015.pdf
Programm Agrarfinanzierung (Treuhandbeteiligung),Georgien,2015,Nachhaltige Wirtschaftsentwicklung,Nachhaltige Wirtschaft,9800000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Privatwirtschaftlich,2,2.0,,2.0,3.0,2,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Georgien_Agrar_D_2015.pdf,100.0,0.0,0.0,Georgien_Agrar_D_2015.pdf
Regionaler Stromverbund I,Georgien,2015,Energie,Klima und Energie,8875000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,3.0,,3.0,3.0,3,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Georgien_Armenien_Strom_2015_D.pdf,0.0,0.0,100.0,Georgien_Armenien_Strom_2015_D.pdf
Rehabilitierung Stromübertragung Armenien-Georgien (Alaverdi),Armenien,2015,Energie,Klima und Energie,8875000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,3.0,,3.0,3.0,3,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Georgien_Armenien_Strom_2015_D.pdf,66.66666666666666,0.0,33.33333333333333,Georgien_Armenien_Strom_2015_D.pdf
Sektorbezogenes Programm Stromversorgung,Georgien,2015,Energie,Klima und Energie,10160000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,2.0,,2.0,2.0,2,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Georgien_Armenien_Strom_2015_D.pdf,100.0,0.0,0.0,Georgien_Armenien_Strom_2015_D.pdf
Gemeinschaftsfinanzierung zur Unterstützung der Armutsbekämpfungsstrategie,Ghana,2015,Governance,Frieden und Governance,12500000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,2.0,,3.0,3.0,3,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Ghana_PBA3_2015_D.pdf,0.0,0.0,0.0,Ghana_PBA3_2015_D.pdf
"Gemeinschaftliches Programm für makroökonomische Unterstützung, Phase II",Ghana,2015,Governance,Frieden und Governance,9000000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,2.0,,3.0,3.0,3,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Ghana_PBA3_2015_D.pdf,0.0,0.0,0.0,Ghana_PBA3_2015_D.pdf
"Gemeinschaftliches Programm für makroökonomische Unterstützung, Phase IV",Ghana,2015,Governance,Frieden und Governance,10000000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,2.0,,3.0,3.0,3,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Ghana_PBA3_2015_D.pdf,0.0,0.0,0.0,Ghana_PBA3_2015_D.pdf
Mikrofinanzierung II,Ghana,2015,Nachhaltige Wirtschaftsentwicklung,Nachhaltige Wirtschaft,4420000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Privatwirtschaftlich,4,3.0,,4.0,4.0,4,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Ghana_Mikrofinanzierung_D_2015.pdf,33.33333333333333,0.0,50.0,Ghana_Mikrofinanzierung_D_2015.pdf
<span lang='en'>Small Industries Development Bank of India (SIDBI)</span> III (Investition),Indien,2015,Nachhaltige Wirtschaftsentwicklung,Nachhaltige Wirtschaft,15200000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,4,3.0,,4.0,4.0,3,4.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Indien_SDBI_2015_D.pdf,50.0,0.0,50.0,Indien_SDBI_2015_D.pdf
Förderung der <span lang='en'>Adivasi (NABARD) (ATP)</span>,Indien,2015,Umweltschutz,Ressourcenschutz inkl. Wasser,5500000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,1.0,,2.0,2.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Indien_Orissa_2015_D.pdf,100.0,0.0,0.0,Indien_Orissa_2015_D.pdf
Finanzierung und Entwicklung von kleinen und mittelständischen Unternehmen (SIDBI) (ZV) (Investition),Indien,2015,Nachhaltige Wirtschaftsentwicklung,Nachhaltige Wirtschaft,43500000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,2.0,,2.0,3.0,2,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Indien_SIDBIIV_D_2015.pdf,100.0,0.0,0.0,Indien_SIDBIIV_D_2015.pdf
Sektorprogramm Gesundheit,Indonesien,2015,Gesundheit,Gesundheit und soziale Sicherung,10140000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,1.0,,2.0,2.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Indonesien_Gesundheit_2015_D.pdf,66.66666666666666,33.33333333333333,0.0,Indonesien_Gesundheit_2015_D.pdf
"Dr. Wahidin S. Husodo-Krankenhaus, Makassar ",Indonesien,2015,Gesundheit,Gesundheit und soziale Sicherung,11400000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,2.0,,2.0,3.0,2,1.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Indonesien_Gesundheit_2015_D.pdf,83.33333333333334,0.0,16.666666666666664,Indonesien_Gesundheit_2015_D.pdf
Grundschulbau,Jordanien,2015,Bildung,Nachhaltige Wirtschaft,13960000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,1.0,,3.0,3.0,3,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K_EN/Jordanien_BSCP_E_2015.pdf,100.0,0.0,0.0,Jordanien_BSCP_E_2015.pdf
Sektorprogramm Gesundheit II,Kamerun,2015,Gesundheit,Gesundheit und soziale Sicherung,7840000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,5,3.0,,5.0,5.0,4,4.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Kamerun_Gesundheit_D_2015.pdf,0.0,0.0,75.0,Kamerun_Gesundheit_D_2015.pdf
Rehabilitierung der Nationalstraße 5,Kamerun,2015,Transport und Kommunikation,Nachhaltige Wirtschaft,16535000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,2.0,,3.0,3.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Kamerun_Nationalstrasse5_2015_D.pdf,33.33333333333333,66.66666666666666,0.0,Kamerun_Nationalstrasse5_2015_D.pdf
Rehabilitierung der Nationalstrasse 5 II,Kamerun,2015,Transport und Kommunikation,Nachhaltige Wirtschaft,16535000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,3.0,,2.0,3.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Kamerun_Nationalstrasse5_2015_D.pdf,33.33333333333333,66.66666666666666,0.0,Kamerun_Nationalstrasse5_2015_D.pdf
Abwasserentsorgung Khenifra/M'Rirt,Marokko,2015,Wasser,Ressourcenschutz inkl. Wasser,14430000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,1.0,,3.0,2.0,3,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Marokko_Abwasser_2015_D.pdf,50.0,25.0,25.0,Marokko_Abwasser_2015_D.pdf
Kleine und Mittlere Bewässerungsperimeter im Dades Tal,Marokko,2015,Landwirtschaft und Ernährungssicherheit,Ernährungssicherung,12510000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Mischform,2,2.0,,2.0,2.0,2,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Marokko_Bewässerungsperimeter_2015_D.pdf,100.0,0.0,0.0,Marokko_Bewässerungsperimeter_2015_D.pdf
Instandsetzung Hafen Quelimane,Mosambik,2015,Transport und Kommunikation,Nachhaltige Wirtschaft,11290000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Mischform,4,2.0,,3.0,4.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Mosambik_Hafen_2015_D.pdf,66.66666666666666,33.33333333333333,0.0,Mosambik_Hafen_2015_D.pdf
Unterstützung des Nationalen Bildungsprogramms (ETSIP),Namibia,2015,Bildung,Nachhaltige Wirtschaft,241000000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,2.0,,3.0,3.0,4,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Namibia_ETSIP_D_2105.pdf,66.66666666666666,0.0,22.22222222222222,Namibia_ETSIP_D_2105.pdf
Förderung der AB <span lang='en'>Microfinance Bank Niger (THM)</span>,Nigeria,2015,Nachhaltige Wirtschaftsentwicklung,Nachhaltige Wirtschaft,1230000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Privatwirtschaftlich,2,2.0,,2.0,2.0,2,1.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Nigeria_Mikrofinanz_2015_D.pdf,100.0,0.0,0.0,Nigeria_Mikrofinanz_2015_D.pdf
Tuberkulose-Kontroll-Programm,Pakistan,2015,Gesundheit,Gesundheit und soziale Sicherung,9400000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,1.0,,2.0,3.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Pakistan_TB_2015_D.pdf,66.66666666666666,0.0,33.33333333333333,Pakistan_TB_2015_D.pdf
Technische Fachschule Nablus,Palästina,2015,Nachhaltige Wirtschaftsentwicklung,Nachhaltige Wirtschaft,19330000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Mischform,2,2.0,,2.0,2.0,2,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Pal_Gebiete_Nablus_D_2015.pdf,100.0,0.0,0.0,Pal_Gebiete_Nablus_D_2015.pdf
MDLF II (<span lang='en'>Municipal Development and Lending Fund</span>),Palästina,2015,Governance,Frieden und Governance,34939000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,2.0,,2.0,3.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Pal_Gebiete_EGPIV_2015_D.pdf,100.0,0.0,0.0,Pal_Gebiete_EGPIV_2015_D.pdf
MDLF III (Kommunalentwicklungsprogramm),Palästina,2015,Governance,Frieden und Governance,34939000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,2.0,,2.0,3.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Pal_Gebiete_MDPI_2015_D.pdf,100.0,0.0,0.0,Pal_Gebiete_MDPI_2015_D.pdf
Ländliche Wasserversorgung Nordwestprovinz (Investition),Sambia,2015,Wasser,Ressourcenschutz inkl. Wasser,5530000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,2.0,,3.0,3.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-R-Z/Sambia_WV_2015_D.pdf,57.14285714285714,14.285714285714285,28.57142857142857,Sambia_WV_2015_D.pdf
"Wasserver- und Abwasserentsorgung in Niš und Belgrad, Phase II (Serbien)",Serbien,2015,Wasser,Ressourcenschutz inkl. Wasser,8945000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,4,4.0,,4.0,4.0,4,4.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-R-Z/Serbien_Wasser_Abwasser_2015_D.pdf,75.0,0.0,25.0,Serbien_Wasser_Abwasser_2015_D.pdf
"Wasserver- und Abwasserentsorgung in Serbien, Phase III (Inv.)",Serbien,2015,Wasser,Ressourcenschutz inkl. Wasser,8945000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,4,4.0,,4.0,4.0,4,4.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-R-Z/Serbien_Wasser_Abwasser_2015_D.pdf,55.55555555555556,11.11111111111111,33.33333333333333,Serbien_Wasser_Abwasser_2015_D.pdf
UNICEF-Programm OVC-Fonds,Simbabwe,2015,Gesundheit,Gesundheit und soziale Sicherung,64870000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Multilateral,3,2.0,,3.0,3.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-R-Z/Simbabwe_OVC_2015_D.pdf,50.0,50.0,0.0,Simbabwe_OVC_2015_D.pdf
Wasserver- und -entsorgung Ampara,Sri Lanka,2015,Wasser,Ressourcenschutz inkl. Wasser,8400000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,1.0,,2.0,2.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-R-Z/Sri_Lanka_Ampara_2015_D.pdf,57.14285714285714,42.857142857142854,0.0,Sri_Lanka_Ampara_2015_D.pdf
Wasserversorgung Nawalapitiya,Sri Lanka,2015,Wasser,Ressourcenschutz inkl. Wasser,9500000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,1,1.0,,1.0,2.0,1,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-R-Z/Sri_Lanka_Ampara_2015_D.pdf,71.42857142857143,14.285714285714285,0.0,Sri_Lanka_Ampara_2015_D.pdf
Sofortmaßnahmen Wasserversorgung Galle I ,Sri Lanka,2015,Wasser,Ressourcenschutz inkl. Wasser,7000000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,1.0,,2.0,1.0,2,,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-R-Z/Sri_Lanka_Galle_2015_D.pdf,0.0,100.0,0.0,Sri_Lanka_Galle_2015_D.pdf
Sofortmaßnahmen Wasserversorgung Galle II ,Sri Lanka,2015,Wasser,Ressourcenschutz inkl. Wasser,18230000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,2.0,,2.0,2.0,2,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-R-Z_EN/Sri_Lanka_Galle_2015_E.pdf,0.0,100.0,0.0,Sri_Lanka_Galle_2015_E.pdf
PPP-Fazilität Mandatar,Südosteuropa,2015,Sonstige,Nachhaltige Wirtschaft,3100000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Privatwirtschaftlich,3,3.0,,3.0,3.0,4,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-R-Z/SOE_PPP_2015_D.pdf,0.0,50.0,33.33333333333333,SOE_PPP_2015_D.pdf
<span lang='en'>Roma Education Fund</span>,Mittel- und Südosteuropa (regional),2015,Bildung,Nachhaltige Wirtschaft,36150000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Multilateral,3,1.0,,3.0,3.0,2,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-R-Z/Südosteuropa_Roma-Education-Fund_2015_D.pdf,0.0,0.0,0.0,Südosteuropa_Roma-Education-Fund_2015_D.pdf
Ländliche Trinkwasserversorgung Mayo Dallah und Kabbia (Mayo Kebbi West),Tschad,2015,Wasser,Ressourcenschutz inkl. Wasser,8100000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,2.0,,2.0,2.0,3,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-R-Z/Tschad_WV_2015_D.pdf,100.0,0.0,0.0,Tschad_WV_2015_D.pdf
Wasserversorgung ländlicher Streusiedlungen IV,Tunesien,2015,Wasser,Ressourcenschutz inkl. Wasser,11390000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,4,3.0,,3.0,3.0,4,4.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-R-Z/Tunesien_AEPIV_D_2015.pdf,20.0,80.0,0.0,Tunesien_AEPIV_D_2015.pdf
Abfallwirtschaft Samsun (Investition),Türkei,2015,Wasser,Frieden und Governance,11630000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,2.0,,3.0,3.0,2,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-R-Z/Türkei_Abfall_Samsun_2015_D.pdf,14.285714285714285,42.857142857142854,14.285714285714285,Türkei_Abfall_Samsun_2015_D.pdf
"Programm kommunale Infrastruktur I - Sivas, Siirt (Investition)",Türkei,2015,Wasser,Frieden und Governance,55850000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,2.0,,3.0,3.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-R-Z/Türkei_Infrastuktur_D_2015.pdf,50.0,50.0,0.0,Türkei_Infrastuktur_D_2015.pdf
Programm zur Bekämpfung sexuell übertragbarer Krankheiten III,Uganda,2015,Gesundheit,Gesundheit und soziale Sicherung,6290000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,2.0,,3.0,4.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-R-Z/Uganda_Bekämpfung_Krankheiten_2015_D.pdf,50.0,30.0,20.0,Uganda_Bekämpfung_Krankheiten_2015_D.pdf
Treuhandbeteiligung 'Unterstützungsprogramm' für ukrainische Banken',Ukraine,2015,Nachhaltige Wirtschaftsentwicklung,Nachhaltige Wirtschaft,30000000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Privatwirtschaftlich,2,2.0,,2.0,2.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-R-Z/Ukraine_Finanz_2015_D.pdf,50.0,25.0,25.0,Ukraine_Finanz_2015_D.pdf
